Company Name,Job Title,Salaries Reported,Location,,Salary/yr,,,,
Mu Sigma,Data Scientist,105,Frankfurt,,"648,573",50.75788696,,,
IBM,Data Scientist,95,Frankfurt,,"1,191,950",93.28304348,,,
Tata Consultancy Services,Data Scientist,66,Frankfurt,,"836,874",65.49448696,,,
Impact Analytics,Data Scientist,40,Frankfurt,,"669,578",52.40175652,,,
Accenture,Data Scientist,32,Frankfurt,,"944,110",73.88686957,,,
Infosys,Data Scientist,30,Frankfurt,,"908,764",71.12066087,,9568943.00,191378.86
Capgemini,Data Scientist,28,Frankfurt,,"926,124",72.47926957,,,
Cognizant Technology Solutions,Data Scientist,26,Frankfurt,,"736,708",57.6554087,,,
Anheuser-Busch InBev,Data Scientist,25,Frankfurt,,"1,646,721",128.8738174,,,
Fractal,Data Scientist,22,Frankfurt,,"1,392,960",109.0142609,,,
Embibe,Data Scientist,20,Frankfurt,,"1,404,773",109.9387565,,,
Amazon,Data Scientist,19,Frankfurt,,"1,507,343",117.9659739,,,
Google,Data Scientist,19,Frankfurt,,"1,558,095",121.9378696,,,
Flipkart,Data Scientist,18,Frankfurt,,"2,557,843",200.1790174,,,
HP Inc.,Data Scientist,16,Frankfurt,,"1,510,081",118.1802522,,,
Wipro,Data Scientist,15,Frankfurt,,"732,821",57.3512087,,,
Ericsson-Worldwide,Data Scientist,15,Frankfurt,,"1,221,750",95.61521739,,,
MiQ,Data Scientist,15,Frankfurt,,"1,739,484",136.1335304,,,
Deloitte,Data Scientist,14,Frankfurt,,"1,124,939",88.03870435,,,
Microsoft,Data Scientist,14,Frankfurt,,"1,630,396",127.5962087,,,
Genpact,Data Scientist,14,Frankfurt,,"1,009,436",78.99933913,,,
Fresher,Data Scientist,14,Frankfurt,,"550,980",43.12017391,,,
Société Générale,Data Scientist,13,Frankfurt,,"1,870,000",146.3478261,,,
Flutura,Data Scientist,13,Frankfurt,,"758,376",59.35116522,,,
Fuzzy Logix,Data Scientist,13,Frankfurt,,"1,556,575",121.818913,,,
DXC Technology,Data Scientist,12,Frankfurt,,"1,194,327",93.46906957,,,
Jio,Data Scientist,11,Frankfurt,,"1,470,000",115.0434783,,,
Honeywell,Data Scientist,10,Frankfurt,,"1,549,942",121.2998087,,,
Affine,Data Scientist,10,Frankfurt,,"1,009,436",78.99933913,,,
Philips,Data Scientist,9,Frankfurt,,"1,541,572",120.6447652,,,
Bharat Light & Power,Data Scientist,9,Frankfurt,,"811,182",63.4838087,,,
Antuit,Data Scientist,9,Frankfurt,,"1,205,874",94.37274783,,,
Nielsen,Data Scientist,9,Frankfurt,,"727,111",56.90433913,,,
[24]7.ai,Data Scientist,9,Frankfurt,,"1,923,257",150.5157652,,,
Fidelity Investments,Data Scientist,9,Frankfurt,,"2,143,501",167.7522522,,,
Myntra,Data Scientist,9,Frankfurt,,"1,926,965",150.8059565,,,
First Student,Data Scientist,9,Frankfurt,,"41,271",3.229904348,,,
Oracle,Data Scientist,8,Frankfurt,,"1,294,984",101.3465739,,,
Ola,Data Scientist,8,Frankfurt,,"2,334,960",182.736,,,
Walmart Global Tech,Data Scientist,8,Frankfurt,,"2,267,616",177.4656,,,
Tredence,Data Scientist,8,Frankfurt,,"1,366,992",106.9819826,,,
Intel Corporation,Data Scientist,8,Frankfurt,,"1,453,427",113.7464609,,,
Mercedes-Benz Research and Development India,Data Scientist,8,Frankfurt,,"1,458,032",114.1068522,,,
SAP,Data Scientist,8,Frankfurt,,"1,730,166",135.4042957,,,
Wipro Technologies,Data Scientist,8,Frankfurt,,"658,109",51.50418261,,,
Thoucentric,Data Scientist,8,Frankfurt,,"794,460",62.17513043,,,
Walmart,Data Scientist,8,Frankfurt,,"2,567,381",200.9254696,,,
Brillio,Data Scientist,8,Frankfurt,,"1,637,231",128.1311217,,,
Great Learning,Data Scientist,7,Frankfurt,,"900,000",70.43478261,,,
Gramener,Data Scientist,7,Frankfurt,,"902,935",70.66447826,,,
HCL Technologies,Data Scientist,7,Frankfurt,,"970,782",75.97424348,,,
Happiest Minds Technologies,Data Scientist,7,Frankfurt,,"1,050,000",82.17391304,,,
Hewlett Packard Enterprise | HPE,Data Scientist,7,Frankfurt,,"2,119,584",165.880487,,,
Noodle.ai,Data Scientist,7,Frankfurt,,"1,687,111",132.0347739,,,
Cisco Systems,Data Scientist,7,Frankfurt,,"1,465,641",114.7023391,,,
INSOFE,Data Scientist,7,Frankfurt,,"600,000",46.95652174,,,
Optum,Data Scientist,7,Frankfurt,,"1,805,869",141.3288783,,,
Adobe,Data Scientist,6,Frankfurt,,"2,624,063",205.3614522,,,
ABB,Data Scientist,6,Frankfurt,,"955,297",74.76237391,,,
EY,Data Scientist,6,Frankfurt,,"761,478",59.59393043,,,
