Startup Name,Ahmed Elsherif,Ahmed Refky,Alaa Elshafei,Fady Zachary,Ash Rofail,Hazem Abdelazim,Maya Oda Pacha,Mohamed Nazir,Final Score,Degree of consensus
Raccoon Platform,3,1,1,1,2,2,3,4,2.13,8.37354E-06
Xretail,2,2,2,3,3,3,3,2,2.5,0.591477516
Heros.live,3,2,2,4,3,4,4,5,3.38,0.065339828
PyramidBITS,2,2,3,2,2,2,2,3,2.25,0.66308995
ELMRKT,4,4,3,4,3,3,3,4,3.5,0.591477516
Notch,3,3,4,4,4,4,4,4,3.75,0.66308995
Hedyat,1,1,1,2,1,1,2,1,1.25,0.66308995
Motajer,2,1,1,1,1,2,2,2,1.5,0.591477516
Zeal App,3,2,2,3,2,2,4,4,2.75,0.23959474
Aliph,2,2,2,2,3,1,1,1,1.75,0.418893219
Irithm,2,1,1,2,1,1,3,4,1.88,8.37354E-06
MerQ,4,3,3,2,2,3,4,4,3.13,0.29147704
ClickMare,3,3,2,3,3,2,1,1,2.25,0.23959474
XVenturer,4,4,3,3,3,3,4,4,3.5,0.591477516
Platform One,2,2,2,2,3,3,2,1,2.13,0.485130056
Tasmimak,1,1,1,2,1,1,2,1,1.25,0.66308995
ReNile,4,4,2,3,4,3,4,3,3.38,0.381976191
Kiteskeeper,0,1,1,2,1,1,1,0,0.88,0.485130056
Plstka,3,2,2,4,4,4,3,1,2.88,8.37354E-06
Curawella,3,1,1,3,3,2,2,1,2,0.2001799
Alkhwarizmi,4,4,4,3,4,4,3,3,3.63,0.60845083
Talabeya,2,1,2,2,2,2,1,2,1.75,0.66308995
