battery_power,blue_tooth,clock_speed,dual_sim,Front_Camera_mx,four_g,int_memory,mobile_dep,mobile_wt,n_cores,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_$
842,No,2.2,No,1,No,7,0.6,188,two,2,2549,9,7,19,No,No,Yes,259.6465718
1021,Yes,0.5,Yes,0,Yes,53,0.7,136,three,6,2631,17,3,7,Yes,Yes,No,241.6382092
563,Yes,0.5,Yes,2,Yes,41,0.9,145,five,6,2603,11,2,9,Yes,Yes,No,483.405889
615,Yes,2.5,No,0,No,10,0.8,131,six,9,2769,16,8,11,Yes,No,No,482.026559
1821,Yes,1.2,No,13,Yes,44,0.6,141,two,14,1411,8,2,15,Yes,Yes,No,121.4466779
1859,No,0.5,Yes,3,No,22,0.7,164,one,7,1067,17,1,10,Yes,No,No,127.2584214
1821,No,1.7,No,4,Yes,10,0.8,139,eight,10,3220,13,8,18,Yes,No,Yes,833.8961631
1954,No,0.5,Yes,0,No,24,0.8,187,four,0,700,16,3,5,Yes,Yes,Yes,101.7717945
1445,Yes,0.5,No,0,No,53,0.7,174,seven,14,1099,17,1,20,Yes,No,No,99.72340339
509,Yes,0.6,Yes,2,Yes,9,0.1,93,five,15,513,19,10,12,Yes,No,No,95.31950236
769,Yes,2.9,Yes,0,No,9,0.1,182,five,1,3946,5,2,7,No,No,No,558.5088461
1520,Yes,2.2,No,5,Yes,33,0.5,177,eight,18,3826,14,9,13,Yes,Yes,Yes,819.7764701
1815,No,2.8,No,2,No,33,0.6,159,four,17,1482,18,0,2,Yes,No,No,82.88011232
803,Yes,2.1,No,7,No,17,1,198,four,11,2680,7,1,4,Yes,No,Yes,315.8554625
1866,No,0.5,No,13,Yes,52,0.7,185,one,17,373,14,9,3,Yes,No,Yes,99.83546792
775,No,1,No,3,No,46,0.7,159,two,16,568,17,15,11,Yes,Yes,Yes,144.7867497
838,No,0.5,No,1,Yes,13,0.1,196,eight,4,3554,10,9,19,Yes,No,Yes,914.7151948
595,No,0.9,Yes,7,Yes,23,0.1,121,three,17,3752,10,2,18,Yes,Yes,No,690.457282
1131,Yes,0.5,Yes,11,No,49,0.6,101,five,18,1835,19,13,16,Yes,Yes,No,110.4518347
682,Yes,0.5,No,4,No,19,1,121,four,11,2337,11,1,18,No,Yes,Yes,201.8853648
772,No,1.1,Yes,12,No,39,0.8,81,seven,14,2819,17,15,3,Yes,Yes,No,1103.793354
1709,Yes,2.1,No,1,No,13,1,156,two,2,3283,17,1,15,Yes,No,No,254.0417964
1949,No,2.6,Yes,4,No,47,0.3,199,four,7,1433,11,5,20,No,No,Yes,281.7346917
1602,Yes,2.8,Yes,4,Yes,38,0.7,114,three,20,1037,8,7,20,Yes,No,No,60.38414133
503,No,1.2,Yes,5,Yes,8,0.4,111,three,13,2583,11,0,12,Yes,No,No,279.0026796
961,Yes,1.4,Yes,0,Yes,57,0.6,114,eight,3,2782,18,9,7,Yes,Yes,Yes,472.2721575
519,Yes,1.6,Yes,7,Yes,51,0.3,132,four,19,3763,16,1,4,Yes,No,Yes,886.0309296
956,No,0.5,No,1,Yes,41,1,143,seven,6,3286,17,8,12,Yes,Yes,No,689.5426083
1453,No,1.6,Yes,12,Yes,52,0.3,96,two,18,2373,10,1,10,Yes,Yes,Yes,503.2864248
851,No,0.5,No,3,No,21,0.4,200,five,7,478,12,7,10,Yes,No,Yes,89.89344439
1579,Yes,0.5,Yes,0,No,5,0.2,88,seven,9,3532,17,11,12,No,No,Yes,1163.537889
1568,Yes,0.5,No,16,No,33,1,150,eight,20,508,5,1,6,Yes,Yes,Yes,101.5459822
1319,Yes,0.9,No,3,Yes,41,0.9,107,one,18,2227,18,5,3,Yes,Yes,Yes,205.9807384
