battery_power,clock_speed,Front_Camera_mx,int_memory,mobile_dep,mobile_wt,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,wifi,price_$
842,2.2,1,7,0.6,188,2,2549,9,7,19,Yes,259.6465718
1021,0.5,0,53,0.7,136,6,2631,17,3,7,No,241.6382092
563,0.5,2,41,0.9,145,6,2603,11,2,9,No,483.405889
615,2.5,0,10,0.8,131,9,2769,16,8,11,No,482.026559
1821,1.2,13,44,0.6,141,14,1411,8,2,15,No,121.4466779
1859,0.5,3,22,0.7,164,7,1067,17,1,10,No,127.2584214
1821,1.7,4,10,0.8,139,10,3220,13,8,18,Yes,833.8961631
1954,0.5,0,24,0.8,187,0,700,16,3,5,Yes,101.7717945
1445,0.5,0,53,0.7,174,14,1099,17,1,20,No,99.72340339
509,0.6,2,9,0.1,93,15,513,19,10,12,No,95.31950236
769,2.9,0,9,0.1,182,1,3946,5,2,7,No,558.5088461
1520,2.2,5,33,0.5,177,18,3826,14,9,13,Yes,819.7764701
1815,2.8,2,33,0.6,159,17,1482,18,0,2,No,82.88011232
803,2.1,7,17,1,198,11,2680,7,1,4,Yes,315.8554625
1866,0.5,13,52,0.7,185,17,373,14,9,3,Yes,99.83546792
775,1,3,46,0.7,159,16,568,17,15,11,Yes,144.7867497
838,0.5,1,13,0.1,196,4,3554,10,9,19,Yes,914.7151948
595,0.9,7,23,0.1,121,17,3752,10,2,18,No,690.457282
1131,0.5,11,49,0.6,101,18,1835,19,13,16,No,110.4518347
682,0.5,4,19,1,121,11,2337,11,1,18,Yes,201.8853648
772,1.1,12,39,0.8,81,14,2819,17,15,3,No,1103.793354
1709,2.1,1,13,1,156,2,3283,17,1,15,No,254.0417964
1949,2.6,4,47,0.3,199,7,1433,11,5,20,Yes,281.7346917
1602,2.8,4,38,0.7,114,20,1037,8,7,20,No,60.38414133
503,1.2,5,8,0.4,111,13,2583,11,0,12,No,279.0026796
961,1.4,0,57,0.6,114,3,2782,18,9,7,Yes,472.2721575
519,1.6,7,51,0.3,132,19,3763,16,1,4,Yes,886.0309296
956,0.5,1,41,1,143,6,3286,17,8,12,No,689.5426083
1453,1.6,12,52,0.3,96,18,2373,10,1,10,Yes,503.2864248
851,0.5,3,21,0.4,200,7,478,12,7,10,Yes,89.89344439
1579,0.5,0,5,0.2,88,9,3532,17,11,12,Yes,1163.537889
1568,0.5,16,33,1,150,20,508,5,1,6,Yes,101.5459822
1319,0.9,3,41,0.9,107,18,2227,18,5,3,Yes,205.9807384
1310,2.2,0,51,0.6,100,0,3845,7,0,12,No,665.9790008
644,2.7,0,22,0.7,157,3,1262,12,1,15,No,100.2779931
725,1.3,16,60,0.4,160,17,1326,10,4,15,No,110.2729038
589,2.3,1,61,0.6,160,10,2113,13,7,2,Yes,162.0216623
1725,1.6,6,6,0.5,119,18,3429,6,5,4,No,623.2588247
790,2,16,11,0.3,87,17,3169,6,1,2,Yes,309.4203082
560,0.5,15,50,0.3,159,20,2150,18,12,11,No,287.1819696
1347,2.9,5,44,0.6,132,14,2484,18,2,11,Yes,157.746559
1646,2.3,8,41,0.2,185,10,3339,18,10,19,No,149.3869503
1253,0.5,5,5,0.2,152,19,1878,15,0,4,No,191.3021673
1656,1,5,34,0.1,166,7,1629,15,12,14,No,231.7638725
1195,2.8,1,20,0.8,110,14,504,9,3,12,No,46.28122237
1514,2.9,0,27,0.2,118,1,1152,8,3,20,Yes,239.4402879
1723,1.1,1,42,1,164,14,3587,10,5,3,No,524.0196551
1054,1.8,3,40,0.8,196,10,2296,16,12,12,Yes,114.1820673
578,2.6,2,57,0.2,162,8,1270,15,3,5,Yes,102.6513056
