battery_power,blue_tooth,clock_speed,dual_sim,Front_Camera_mx,four_g,int_memory,mobile_dep,mobile_wt,n_cores,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_range
842,No,2.2,No,1,No,7,0.6,188,two,2,2549,9,7,19,No,No,Yes,meduim
1021,Yes,0.5,Yes,0,Yes,53,0.7,136,three,6,2631,17,3,7,Yes,Yes,No,high
563,Yes,0.5,Yes,2,Yes,41,0.9,145,five,6,2603,11,2,9,Yes,Yes,No,high
615,Yes,2.5,No,0,No,10,0.8,131,six,9,2769,16,8,11,Yes,No,No,high
1821,Yes,1.2,No,13,Yes,44,0.6,141,two,14,1411,8,2,15,Yes,Yes,No,meduim
1859,No,0.5,Yes,3,No,22,0.7,164,one,7,1067,17,1,10,Yes,No,No,meduim
1821,No,1.7,No,4,Yes,10,0.8,139,eight,10,3220,13,8,18,Yes,No,Yes,very_high
1954,No,0.5,Yes,0,No,24,0.8,187,four,0,700,16,3,5,Yes,Yes,Yes,low
1445,Yes,0.5,No,0,No,53,0.7,174,seven,14,1099,17,1,20,Yes,No,No,low
509,Yes,0.6,Yes,2,Yes,9,0.1,93,five,15,513,19,10,12,Yes,No,No,low
769,Yes,2.9,Yes,0,No,9,0.1,182,five,1,3946,5,2,7,No,No,No,very_high
1520,Yes,2.2,No,5,Yes,33,0.5,177,eight,18,3826,14,9,13,Yes,Yes,Yes,very_high
1815,No,2.8,No,2,No,33,0.6,159,four,17,1482,18,0,2,Yes,No,No,meduim
803,Yes,2.1,No,7,No,17,1,198,four,11,2680,7,1,4,Yes,No,Yes,high
1866,No,0.5,No,13,Yes,52,0.7,185,one,17,373,14,9,3,Yes,No,Yes,low
775,No,1,No,3,No,46,0.7,159,two,16,568,17,15,11,Yes,Yes,Yes,low
838,No,0.5,No,1,Yes,13,0.1,196,eight,4,3554,10,9,19,Yes,No,Yes,very_high
595,No,0.9,Yes,7,Yes,23,0.1,121,three,17,3752,10,2,18,Yes,Yes,No,very_high
1131,Yes,0.5,Yes,11,No,49,0.6,101,five,18,1835,19,13,16,Yes,Yes,No,meduim
682,Yes,0.5,No,4,No,19,1,121,four,11,2337,11,1,18,No,Yes,Yes,meduim
772,No,1.1,Yes,12,No,39,0.8,81,seven,14,2819,17,15,3,Yes,Yes,No,very_high
1709,Yes,2.1,No,1,No,13,1,156,two,2,3283,17,1,15,Yes,No,No,very_high
1949,No,2.6,Yes,4,No,47,0.3,199,four,7,1433,11,5,20,No,No,Yes,meduim
1602,Yes,2.8,Yes,4,Yes,38,0.7,114,three,20,1037,8,7,20,Yes,No,No,low
503,No,1.2,Yes,5,Yes,8,0.4,111,three,13,2583,11,0,12,Yes,No,No,meduim
961,Yes,1.4,Yes,0,Yes,57,0.6,114,eight,3,2782,18,9,7,Yes,Yes,Yes,high
519,Yes,1.6,Yes,7,Yes,51,0.3,132,four,19,3763,16,1,4,Yes,No,Yes,very_high
956,No,0.5,No,1,Yes,41,1,143,seven,6,3286,17,8,12,Yes,Yes,No,very_high
1453,No,1.6,Yes,12,Yes,52,0.3,96,two,18,2373,10,1,10,Yes,Yes,Yes,high
851,No,0.5,No,3,No,21,0.4,200,five,7,478,12,7,10,Yes,No,Yes,low
1579,Yes,0.5,Yes,0,No,5,0.2,88,seven,9,3532,17,11,12,No,No,Yes,very_high
1568,Yes,0.5,No,16,No,33,1,150,eight,20,508,5,1,6,Yes,Yes,Yes,low
1319,Yes,0.9,No,3,Yes,41,0.9,107,one,18,2227,18,5,3,Yes,Yes,Yes,meduim
1310,Yes,2.2,Yes,0,Yes,51,0.6,100,four,0,3845,7,0,12,Yes,Yes,No,very_high
644,Yes,2.7,No,0,No,22,0.7,157,eight,3,1262,12,1,15,Yes,No,No,low
725,No,1.3,Yes,16,No,60,0.4,160,eight,17,1326,10,4,15,Yes,No,No,meduim
589,Yes,2.3,Yes,1,No,61,0.6,160,four,10,2113,13,7,2,Yes,No,Yes,meduim
1725,Yes,1.6,Yes,6,Yes,6,0.5,119,two,18,3429,6,5,4,Yes,Yes,No,very_high
790,No,2,Yes,16,Yes,11,0.3,87,six,17,3169,6,1,2,Yes,No,Yes,high
560,No,0.5,Yes,15,No,50,0.3,159,two,20,2150,18,12,11,Yes,Yes,No,high
1347,No,2.9,No,5,No,44,0.6,132,one,14,2484,18,2,11,Yes,No,Yes,high
1646,Yes,2.3,No,8,Yes,41,0.2,185,two,10,3339,18,10,19,Yes,Yes,No,very_high
1253,Yes,0.5,Yes,5,Yes,5,0.2,152,two,19,1878,15,0,4,Yes,Yes,No,meduim
1656,No,1,No,5,Yes,34,0.1,166,three,7,1629,15,12,14,Yes,Yes,No,meduim
1195,Yes,2.8,No,1,Yes,20,0.8,110,two,14,504,9,3,12,Yes,Yes,No,low
1514,No,2.9,No,0,No,27,0.2,118,three,1,1152,8,3,20,No,Yes,Yes,meduim
1723,Yes,1.1,Yes,1,No,42,1,164,eight,14,3587,10,5,3,Yes,No,No,very_high
1054,Yes,1.8,Yes,3,Yes,40,0.8,196,seven,10,2296,16,12,12,Yes,No,Yes,meduim
578,Yes,2.6,Yes,2,Yes,57,0.2,162,eight,8,1270,15,3,5,Yes,No,Yes,low
596,No,2.1,Yes,9,No,64,0.8,111,eight,15,3238,16,13,10,No,No,No,very_high
1547,Yes,3,Yes,2,Yes,14,0.7,198,three,19,2059,5,0,15,Yes,No,Yes,high
1760,No,1.4,Yes,5,No,63,0.8,127,eight,19,2053,19,12,16,No,Yes,No,high
1654,Yes,1.5,Yes,0,Yes,43,0.3,109,two,0,3112,12,5,10,Yes,Yes,No,very_high
1457,No,1.9,Yes,1,Yes,16,0.3,102,three,10,1440,17,8,12,Yes,No,Yes,meduim
1073,Yes,0.5,Yes,0,No,51,0.5,145,seven,0,2908,6,0,18,No,Yes,No,high
1936,No,2.1,Yes,10,Yes,46,0.6,104,three,20,2552,14,7,13,Yes,No,No,high
823,Yes,2.7,Yes,13,No,60,0.5,148,eight,19,905,14,11,17,Yes,Yes,Yes,low
987,No,1.3,Yes,0,Yes,61,0.4,107,three,9,3963,9,4,20,Yes,No,Yes,very_high
