Car_Ad,Car_Brand,year,km_driven,fuel,seller_type,transmission,owner,engine,horsepower,seats,selling_price
Maruti Wagon R LXI Minor,Maruti,2010,577414,Petrol,Individual,Manual,Second Owner,1061,67,five,194000
Toyota Innova 2.5 EV Diesel PS 7 Seater BSIII,Toyota,2011,500000,Diesel,Individual,Manual,Second Owner,2494,100.57,seven,350000
Maruti Wagon R VXI BS IV,Maruti,2011,500000,Petrol,Individual,Manual,Second Owner,998,67.1,five,229999
Mahindra Scorpio M2DI,Mahindra,2011,475000,Diesel,Individual,Manual,Third Owner,2179,115,five,400000
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,2013,440000,Diesel,Individual,Manual,Second Owner,2494,100.6,seven,750000
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Toyota,2010,426000,Diesel,Individual,Manual,First Owner,2494,102,seven,950000
Mahindra Bolero SLE,Mahindra,2010,380000,Diesel,Individual,Manual,Second Owner,2523,63,seven,260000
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2007,376412,Diesel,Individual,Manual,Second Owner,2494,102,eight,350000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2011,375000,Diesel,Individual,Manual,First Owner,2494,102,eight,650000
Mahindra Scorpio LX,Mahindra,2012,370000,Diesel,Individual,Manual,First Owner,2179,120,nine,450000
Maruti Wagon R LXI BS IV,Maruti,2012,360003,Petrol,Individual,Manual,Second Owner,998,67.1,five,220000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2010,334000,Diesel,Individual,Manual,First Owner,2494,102,seven,450000
Hyundai Sonata 2.4 GDi MT,Hyundai,2012,330000,Petrol,Individual,Manual,Second Owner,2359,198.25,five,550000
Hyundai Sonata 2.4 GDi MT,Hyundai,2012,330000,Petrol,Individual,Manual,Second Owner,2359,198.25,five,500000
Mahindra Scorpio SLE BSIII,Mahindra,2011,320000,Diesel,Individual,Manual,Third Owner,2179,120,eight,400000
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2006,305000,Diesel,Individual,Manual,Fourth & Above Owner,2494,102,eight,370000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2011,300000,Diesel,Individual,Manual,Third Owner,2494,102,seven,830000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2014,300000,Diesel,Individual,Manual,Second Owner,2494,100.6,seven,700000
