Area m2,Price LE,Linear Regression,Error / Residual,Squared,55964.32275,3132005420,,,,,,
66.69,66500,51622.2391,14877.7609,221347769.5,51623.002,,,,,,,
66.69,66000,51622.2391,14377.7609,206720008.6,51623.002,,,Unexplained Variance,1429371615,,,
71.1,68500,54205.55873,14294.44127,204331051.2,54206.38,,,Variance (actual),3132005420,,,y = 585.79x + 12556
250.47,102000,159278.1309,-57278.13087,3280784276,159281.326,,,,,,,
104.85,54000,73975.86207,-19975.86207,399035065.4,73977.13,,,R2 (squared),0.543624157,,,
209.79,143000,135448.3252,7551.674755,57027791.61,135450.982,,,,,,,
110.52,98900,77297.27303,21602.72697,466677812.5,77298.616,,,,,,,
110.52,98350,77297.27303,21052.72697,443217312.9,77298.616,,,, ,,,
110.52,98847,77297.27303,21549.72697,464390732.5,77298.616,,,,,,,
110.52,98900,77297.27303,21602.72697,466677812.5,77298.616,,,,,,,
110.52,101313,77297.27303,24015.72697,576755141.9,77298.616,,,,,,,
136.8,125000,92691.74923,32308.25077,1043823068,92693.44,,,,,,,
129.6,62500,88474.08452,-25974.08452,674653066.5,88475.68,,,,,,,
90.09,92000,65329.64941,26670.35059,711307600.6,65330.722,,,,,,,
129.42,120000,88368.6429,31631.3571,1000542752,88370.236,,,,,,,
86.04,23000,62957.21301,-39957.21301,1596578871,62958.232,,,,,,,
97.2,22654,69494.59331,-46840.59331,2194041182,69495.76,,,,,,,
157.05,95000,104553.9312,-9553.93123,91277601.96,104555.89,,,,,,,
87.39,64900,63748.02514,1151.974857,1327046.071,63749.062,,,,,,,
117.27,75000,81251.3337,-6251.333697,39079173,81252.766,,,,,,,
143.1,68000,96382.20585,-28382.20585,805549609,96383.98,,,,,,,
83.97,23000,61744.6344,-38744.6344,1501146695,61745.626,,,,,,,
76.5,40101,57368.80727,-17267.80727,298177167.8,57369.7,,,,,,,
209.88,93000,135501.0461,-42501.04605,1806338916,135503.704,,,,,,,
140.58,58500,94906.0232,-36406.0232,1325398525,94907.764,,,,,,,
130.68,103500,89106.73422,14393.26578,207166099.7,89108.344,,,,,,,
260.1,102565,164919.2574,-62354.25742,3888053418,164922.58,,,,,,,
217.71,97900,140087.7564,-42187.75643,1779806792,140090.518,,,,,,,
162.72,99000,107875.3422,-8875.342191,78771699.01,107877.376,,,,,,,
125.64,82000,86154.36892,-4154.368925,17258781.16,86155.912,,,,,,,
199.44,171500,129385.4322,42114.56778,1773636819,129387.952,,,,,,,
128.25,135900,87683.27238,48216.72762,2324852822,87684.85,,,,,,,
206.19,80001,133339.4929,-53338.49289,2844994824,133342.102,,,,,,,
182.16,136000,119263.0369,16736.96309,280125933.4,119265.328,,,,,,,
230.4,167500,147521.3905,19978.60952,399144838.2,147524.32,,,,,,,
202.14,134000,130967.0565,3032.943511,9198746.343,130969.612,,,,,,,
523.26,270000,319074.9026,-49074.90264,2408346069,319081.708,,,,,,,
345.15,315000,214740.4218,100259.5782,10051983015,214744.87,,,,,,,
258.3,207000,163864.8412,43135.15876,1860641921,163868.14,,,,,,,
281.52,197500,177466.8099,20033.19006,401328704.1,177470.416,,,,,,,
275.4,335000,173881.7949,161118.2051,25959076004,173885.32,,,,,,,
262.62,219000,166395.4401,52604.55993,2767239726,166398.796,,,,,,,
174.24,189900,114623.6057,75276.39427,5666535534,114625.792,,,,,,,
234.9,79900,150157.4309,-70257.43093,4936106601,150160.42,,,,,,,
220.14,123400,141511.2183,-18111.21827,328016227.2,141514.012,,,,,,,
233.1,123000,149103.0147,-26103.01475,681367379,149105.98,,,,,,,
261.9,130500,165973.6736,-35473.6736,1258381518,165977.02,,,,,,,
117.36,128000,81304.05451,46695.94549,2180511326,81305.488,,,,,,,
120.78,68000,83307.44524,-15307.44524,234317879.9,83308.924,,,,,,,
98.1,62000,70021.8014,-8021.801402,64349297.73,70022.98,,,,,,,
269.01,124000,170138.6175,-46138.6175,2128772025,170142.058,,,,,,,
197.19,50000,128067.412,-78067.412,6094520816,128069.902,,,,,,,
125.37,89900,85996.2065,3903.793502,15239603.7,85997.746,,,,,,,
172.08,125000,113358.3063,11641.69368,135529031.8,113360.464,,,,,,,
191.34,147000,124640.5594,22359.44058,499944583,124642.972,,,,,,,
239.94,246000,153109.7962,92890.20377,8628589957,153112.852,,,,,,,
115.74,76000,80355.07995,-4355.079946,18966721.34,80356.492,,,,,,,
192.15,135000,125115.0467,9884.953299,97712301.73,125117.47,,,,,,,
126,85000,86365.25216,-1365.25216,1863913.462,86366.8,,,,,,,
204.48,124900,132337.7975,-7437.79752,55320831.95,132340.384,,,,,,,
176.04,98900,115678.0219,-16778.02191,281502019.1,115680.232,,,,,,,
147.96,120000,99229.12953,20770.87047,431429060,99230.968,,,,,,,
242.28,134000,154480.5373,-20480.53726,419452406.3,154483.624,,,,,,,
243.63,115495,155271.3494,-39776.34939,1582157971,155274.454,,,,,,,
126.36,81900,86576.1354,-4676.135396,21866242.24,86577.688,,,,,,,
99.99,34000,71128.93839,-37128.93839,1378558066,71130.142,,,,,,,
136.71,91500,92639.02842,-1139.028419,1297385.74,92640.718,,,,,,,
189,109200,123269.8184,-14069.81839,197959789.5,123272.2,,,,,,,
123.3,42000,84783.62789,-42783.62789,1830438816,84785.14,,,,,,,
163.71,110000,108455.2711,1544.728911,2386187.409,108457.318,,,,,,,
229.05,142000,146730.5783,-4730.578349,22378371.52,146733.49,,,,,,,
135.99,79900,92217.26195,-12317.26195,151714941.9,92218.942,,,,,,,
216.27,134900,139244.2235,-4344.223486,18872277.69,139246.966,,,,,,,
222.12,130000,142671.0761,-12671.07606,160556168.6,142673.896,,,,,,,
213.03,125000,137346.2744,-12346.27437,152430490.7,137348.974,,,,,,,
221.49,108000,142302.0304,-34302.0304,1176629290,142304.842,,,,,,,
224.64,133000,144147.2587,-11147.25871,124261376.8,144150.112,,,,,,,
207.09,126000,133866.701,-7866.700978,61884984.28,133869.322,,,,,,,
198,121900,128541.8993,-6641.899279,44114826.04,128544.4,,,,,,,
220.77,116000,141880.2639,-25880.26393,669788061.1,141883.066,,,,,,,
258.84,135000,164181.1661,-29181.16609,851540454.6,164184.472,,,,,,,
227.07,150000,145570.7206,4429.279447,19618516.42,145573.606,,,,,,,
228.06,136400,146150.6495,-9750.649451,95075164.72,146153.548,,,,,,,
161.1,97500,106926.3676,-9426.367631,88856406.71,106928.38,,,,,,,
243.27,141000,155060.4662,-14060.46616,197696708.5,155063.566,,,,,,,
224.55,185000,144094.5379,40905.4621,1673256829,144097.39,,,,,,,
180.81,127000,118472.2248,8527.77522,72722950.21,118474.498,,,,,,,
254.16,290000,161439.684,128560.316,16527754842,161442.928,,,,,,,
133.65,95700,90846.52092,4853.479083,23556259.21,90848.17,,,,,,,
293.94,139900,184742.2816,-44842.28157,2010830216,184746.052,,,,,,,
122.22,97500,84150.97819,13349.02181,178196383.4,84152.476,,,,,,,
120.33,90900,83043.8412,7856.1588,61719231.09,83045.314,,,,,,,
126.99,72500,86945.18106,-14445.18106,208663255.8,86946.742,,,,,,,
176.85,137500,116152.5092,21347.49081,455715364,116154.73,,,,,,,
165.87,116000,109720.5705,6279.429497,39431234.81,109722.646,,,,,,,
170.73,121500,112567.4942,8932.505817,79789660.17,112569.634,,,,,,,
223.74,149900,143620.0506,6279.949376,39437764.16,143622.892,,,,,,,
132.03,99000,89897.54636,9102.453643,82854662.33,89899.174,,,,,,,
130.77,100000,89159.45503,10840.54497,117517415.2,89161.066,,,,,,,
