age,Salary_KLE,Purchased
44,19,0
45,20,0
27,43,0
41,57,0
18,76,0
28,58,0
36,84,0
56,150,1
36,33,0
37,65,0
30,80,0
32,52,0
18,86,0
36,18,0
21,82,0
37,80,0
57,25,1
58,26,1
45,28,1
54,29,1
42,22,1
40,49,1
39,41,1
47,22,1
39,23,1
58,20,1
47,28,1
54,30,1
42,43,0
32,18,0
28,74,0
53,137,1
37,16,0
33,44,0
36,90,0
36,27,0
24,28,0
42,49,0
25,72,0
23,31,0
34,17,0
33,51,0
25,108,0
29,15,0
26,84,0
36,20,0
39,79,0
32,54,0
38,135,1
43,89,0
21,32,0
20,44,0
23,83,0
21,23,0
31,58,0
44,55,0
32,48,0
33,79,0
41,18,0
33,117,0
43,20,0
26,87,0
39,66,0
54,120,1
43,83,0
28,58,0
28,19,0
23,82,0
40,63,0
31,68,0
19,80,0
24,27,0
24,23,0
26,113,0
43,18,0
59,112,1
44,52,0
38,27,0
31,87,0
37,17,0
33,80,0
44,42,0
18,49,0
19,88,0
34,62,0
58,118,1
34,55,0
22,85,0
18,81,0
20,50,0
43,81,0
21,116,0
33,15,0
24,28,0
45,83,0
25,44,0
28,25,0
46,123,1
40,73,0
27,37,0
34,88,0
27,59,0
26,86,0
40,149,1
44,21,0
41,72,0
21,35,0
40,89,0
20,86,0
34,80,0
33,71,0
17,71,0
22,61,0
35,55,0
40,80,0
42,57,0
31,75,0
24,52,0
33,59,0
30,59,0
24,75,0
33,72,0
31,75,0
27,53,0
43,51,0
17,61,0
37,65,0
22,32,0
43,17,0
44,84,0
32,58,0
24,31,0
32,87,0
45,68,0
33,55,0
27,63,0
23,82,0
45,107,1
24,59,0
28,25,0
31,85,0
25,68,0
30,59,0
33,89,0
26,25,0
39,89,0
54,96,1
42,30,0
44,61,0
29,74,0
22,15,0
40,45,0
42,76,0
42,50,0
44,47,0
35,15,0
25,59,0
19,75,0
31,30,0
54,135,1
54,100,1
19,90,0
17,33,0
41,38,0
18,69,0
22,86,0
30,55,0
18,71,0
38,148,1
43,47,0
21,88,0
41,115,0
38,118,0
30,43,0
39,72,0
36,28,0
20,47,0
34,22,0
33,23,0
44,34,0
17,16,0
22,71,0
49,117,1
34,43,0
32,60,0
25,66,0
22,82,0
28,41,0
21,72,0
29,32,0
26,84,0
41,26,0
23,43,0
23,70,0
36,89,0
41,43,0
17,79,0
19,36,0
18,80,0
26,22,0
21,39,0
30,74,0
39,134,1
34,71,0
51,101,1
21,47,0
59,130,1
42,114,0
52,142,1
20,22,0
57,96,1
39,150,1
19,42,0
43,58,0
35,43,0
40,108,1
18,65,0
37,78,0
35,96,0
41,143,1
39,80,0
38,91,1
42,144,1
44,102,1
39,60,0
27,53,0
38,126,1
45,133,1
27,72,0
59,80,1
41,147,1
34,42,0
58,107,1
48,86,1
21,112,0
49,79,1
22,57,0
17,80,0
45,82,0
42,143,1
56,149,1
42,59,0
48,88,1
38,104,1
40,72,0
38,146,1
32,50,0
50,122,1
39,52,0
51,97,1
45,39,0
24,52,0
53,134,1
40,146,1
41,44,0
59,90,1
31,72,0
30,57,0
48,95,1
49,131,1
29,77,0
49,144,1
50,125,1
33,72,0
43,90,1
55,108,1
24,75,0
26,74,0
60,144,1
42,61,0
28,133,0
58,76,1
58,42,1
53,106,1
58,26,1
42,74,1
37,71,0
56,88,1
55,38,1
40,36,1
58,88,1
34,61,0
51,70,1
42,21,1
45,141,0
41,93,1
23,62,0
39,138,1
20,79,0
38,78,1
40,134,1
46,89,1
39,39,1
21,77,0
39,57,0
40,63,0
48,73,1
44,112,1
30,79,0
43,117,1
47,38,1
42,74,1
54,137,1
55,79,1
40,60,0
37,54,0
34,134,0
48,113,1
43,125,1
25,50,0
27,70,0
56,96,1
34,50,0
55,141,1
19,79,0
40,75,1
52,104,1
24,55,0
41,32,1
40,60,0
43,138,1
55,82,1
22,52,0
55,30,1
47,131,1
38,60,0
36,72,0
37,75,0
48,118,1
54,107,1
41,51,0
53,119,1
37,65,0
20,65,0
50,60,1
39,54,0
53,144,1
25,79,0
43,55,0
58,122,1
48,104,1
34,75,0
24,65,0
56,51,1
50,105,1
28,63,0
41,72,1
53,108,1
35,77,0
41,61,0
38,113,1
42,75,0
53,90,1
42,57,0
39,99,1
53,34,1
44,70,1
42,72,0
48,71,1
45,54,0
50,129,1
40,34,1
55,50,1
19,79,0
49,104,1
45,29,1
48,47,1
45,88,1
20,71,0
57,26,1
51,46,1
49,83,1
32,73,0
44,130,1
26,80,0
55,32,1
24,74,0
32,53,0
46,87,1
51,23,1
19,64,0
55,33,1
60,139,1
57,28,1
43,33,1
56,60,1
39,39,1
21,71,0
52,34,1
41,35,1
57,33,1
40,23,1
41,45,1
55,42,1
31,59,0
54,41,1
40,23,1
49,20,1
20,33,0
54,36,1
